var			desc
poleff17	MOST GOVERNMENT ADMINISTRATORS CAN BE TRUSTED
posslq		DOES R HAVE MARITAL PARTNER
goodlife	STANDARD OF LIVING OF R WILL IMPROVE
taxrich		TAXES ON HIGH INCOME PEOPLE TOO HIGH
taxmid		TAXES ON MIDDLE INCOME PEOPLE TOO HIGH
taxpoor		TAXES ON LOW INCOME PEOPLE TOO HIGH
marhomo		HOMOSEXUALS SHOULD HAVE RIGHT TO MARRY
meovrwrk	MEN HURT FAMILY WHEN FOCUS ON WORK TOO MUCH
timepdwk	TIME R WOULD SPEND ON PAID WORK
timehhwk	TIME R WOULD SPEND ON HOUSEHOLD WORK
timefam		TIME R WOULD SPEND ON FAMILY
timefrnd	TIME R WOULD SPEND ON FRIENDS
timeleis	TIME R WOULD SPEND ON LEISURE
wrkearn		JOB IS JUST A WAY TO EARN MONEY
wrkenjoy	ENJOY JOB EVEN IF $ NOT NEEDED
secjob		IMPORTANCE OF JOB SECURITY IN A JOB
hiinc		IMPORTANCE OF HIGH PR INCOME IN A JOB
promotn		IMPORTANCE OF ADVANCEMENT IN A JOB
intjob		IMPORTANCE OF INTERESTING WORK IN A JOB
wrkindp		IMPORTANCE OF INDEPENDENT WORK IN A JOB
hlpoths		IMPORTANCE OF HELPING OTHERS IN A JOB
hlpsoc		IMPORTANCE OF SOCIAL USEFULNESS IN A JOB
flexhrs		IMPORTANCE OF FLEXIBLE HRS. IN A JOB
empself		DOES R PREFER SELF-EMPLOYMENT OR NOT ?
smallbig	R PREFERENCE RE: FIRM SIZE IN
privgovt	R PREFERENCE RE: PRIVATEPUBLIC SECTOR
hrsmoney	R PREFERENCE RE: WORK HRS AND MONEY
rsecjob		RS JOB IS SECURE
rhiinc		RS INCOME IS HIGH
rpromotn	R HAS OPPORTUNITY TO ADVANCE
rintjob		RS JOB IS INTERESTING
rwrkindp	R CAN WORK INDEPENDENTLY
rhlpoths	R HELPS OTHERS IN JOB
rhlpsoc		RS JOB IS USEFUL TO SOCIETY
xhaustn		HOW OFTEN DOES WORK EXHAUST R
physwrk		HOW OFTEN MUST R DO PHYSICAL WORK
stress		HOW OFTEN DOES R FIND WORK STRESSFUL
danger		HOW OFTEN DOES R WORK IN DANGEROUS CONDS
bossemps	QUALITY OF MGMNTEMPLOYEE RELS: RS FIRM
cowrkers	QUALITY OF RELS AMONG WORKERS: RS FIRM
jobsat		HOW SATISFIED IS R WITH HISHER JOB
localnum	NUMBER OF EMPLOYEES: RS WORK SITE
wantjob1	WHICH JOB WOULD YOU PREFER
sethours	WHO SET WORKING HOURS
useskill	HOW MUCH PAST SKILLS CAN YOU MAKE USE IN PRESENT
helporg1	WILLING TO WORK HARDER FOR THE FIRM
prideorg	I AM PROUD WORKING FOR MY FIRM
stayorg3	I WOULD TURN DOWN JOB OFFERING MORE PAY
leavejob	HOW LIKELY WILL TRY TO FIND AONTHER FIRM
worryjob	DO YOU WORRY ABOUT LOSING JOB
evjob		HAVE YOU EVER HAD A PAID JOB FOR 1 YEAR OR+
yrjobend	WHEN DID YOUR LAST PAID JOB END
whyjbend	MAIN REASON YOUR JOB END
wantjob2	WOULD LIKE TO HAVE A JOB NOW OR IN THE FUTURE
getjob		HOW LIKELY YOU WOULD FIND A JOB
lookjob		ARE YOU LOOKING FOR A JOB
pubagncy	REGISTERED AT A PUBLIC EMPLOYMENT AGANCY
priagncy	REGISTERED AT A PRIVATE EMPLOYMENT AGANCY
wantads		ANSWERED ADVERTISEMENTS FOR JOBS
adforjob	ADVERTISED FOR A JOB IN NEWSPAPERS
appemps		APPLIED DIRECTLY TO EMPLOYERS
askhelp		ASKED RELATIVES FRIENDS COLLEAGUES TO HELP
econsup		MAIN SOURCE OF ECONOMIC SUPPORT
relexper	TURNING POINT IN LIFE FOR RELIGION
relactiv	HOW OFTEN DOES R TAKE PART IN RELIG ACTIVITIES
letin1		NUMBER OF IMMIGRANTS TO AMERICA NOWADAYS SHOULD BE
helphlth	HOW SUCCESSFUL IS GOVT:PROVIDING HLTH CARE FOR THE SICK
helpold		HOW SUCCESSFUL IS GOVT:DECENT STANDARD OF LIVING FOR THE OLD
helpsec		HOW SUCCESSFUL IS GOVT:DEALING WITH AMERICA S SECURITY
helpcrim	HOW SUCCESSFUL IS GOVT:CONTROLLING CRIME
helpemp		HOW SUCCESSFUL IS GOVT:FIGHTING UNEMPLOYMENT
helpenv		HOW SUCCESSFUL IS GOVT:PROTECTING ENVIRONMENT
wotrial		SHOULD AUTHORITIES HAVE RIGHT TO DETAIN THE SUSPECTED
tapphone	SHOULD AUTHORITIES HAVE RIGHT TO TAP PHONE CONVERSATION
stoprndm	SHOULD AUTHORITIES HAVE RIGHT TO SEARCH PPL IN THE STREET
fewtrsty	THERE ARE ONLY A FEW PEOPLE R CAN TRUST COMPLETELY
exploit		OTHER PEOPLE TAKE ADVANTAGE OF R IF NOT CAREFUL
youinflu	HOW OFTEN R IS ASKED TO HELP INFLUENCE IMPORTANT DECISION
hlpinflu	DOES R HAVE PEOPLE TO ASK TO INFLUENCE IMPORTANT DECISION
polsfair	OPINION OF FARINESS OF PUBLIC OFFICAL S TREATMENT
knowpols	PUBLIC OFFICAL S TREATMENT DEPENDS ON WHO THEY KNOW
corrupt1	OPINION OF CORRUPTION BY POLITICIAN
corrupt2	OPINION OF CORRUPTION BY GOVERNMENT ADMINISTRATORS
bribe		DOES R SEE PUBLIC OFFICIAL ASKING FOR A BRIBE IN LAST FIVE YEARS
peocntct	HOW MANY PEOPLE IN CONTACT IN A TYPICAL WEEKDAY
selfemp1	EMPLOYEE HAVE MORE JOB SECURITY THAN THE SELF-EMPLOYED
selfemp2	BEING EMPLOYEE INTERFERE MORE WITH FAMILY LIFE THAN SELF-EMPLOYMENT
unjobsec	UNIONS ARE VERY IMPORTANT FOR JOB SECURITY
unbetter	WORKING CONDITION WOULD BE MUCH WORSE WITHOUT UNIONS
curwkpay	IS R CURRENTLY WORKING FOR PAY
rimpskls	JOB GIVES R CHANCE TO IMPROVE SKILLS
dailywrk	HOW RS DAILY WORK IS ORGANIZED
timeoff		HOW DIFFICULT R TAKES AN HOUR OFF DURING WORKING HOURS
jbintfam	HOW OFTEN R FELL:DEMAND OF JOB INTERFERE WITH FAMILY LIFE
famintjb	HOW OFTEN R FELL:DEMAND OF FAMILY LIFE INTERFERE WITH JOB
newjob		HOW HELPFUL PRESENT WORK SKILL WOULD BE FOR NEW JOB
jbtrain		DID R HAVE ANY TRAINING TO IMPROVE JOB SKILL PAST 12 MONTHS
jobeasy		HOW EASY IF R FIND A JOB AS GOOD AS CURRENT ONE
replaceu	HOW EASY RS FIRM REPLACES R IF R LEFT
nounemp1	R WOULD ACCEPT JOB REQUIRING NEW SKILL TO AVOID UNEMPLOYMENT
nounemp2	R WOULD ACCEPT POSITION WITH LOWER PAY TO AVOID UNEMPLOYMENT
nounemp3	R WOULD ACCEPT TEMPORARY EMPLOYMENT TO AVOID UNEMPLOYMENT
nounemp4	R WOULD ACCEPT TRAVEL LONGER TO WORK TO AVOID UNEMPLOYMENT
otherwrk	DOES R HAVE ANY ADDITIONAL JOB
big5a1		R SEE ONESELF AS SOMEONE WHO IS RESERVED
big5b1		R SEE ONESELF AS SOMEONE WHO IS GENERALLY TRUSTED
big5c1		R SEE ONESELF AS SOMEONE WHO DOES A THOROUGH JOB
big5d1		R SEE ONESELF AS SOMEONE WHO IS RELAXED
big5e1		R SEE ONESELF AS SOMEONE WHO HAS AN ACTIVE IMAGINATION
big5a2		R SEE ONESELF AS SOMEONE WHO IS SOCIABLE
big5b2		R SEE ONESELF AS SOMEONE WHO TENDS TO FIND FAULT WITH OTHERS
big5c2		R SEE ONESELF AS SOMEONE WHO TENDS TO BE LAZY
big5d2		R SEE ONESELF AS SOMEONE WHO GETS NERVOUS EASILY
big5e2		R SEE ONESELF AS SOMEONE WHO HAS FEW ARTISTIC INTERESTS
skltrain	R HAD JOB SKILL TRAINING IN THE  PAST 12 MONTHS
spwrkgvt	SPOUSE WORKING FOR GOVERNMENT
partners	HOW MANY SEX PARTNERS R HAD IN LAST YEAR
matesex		WAS 1 OF RS PARTNERS SPOUSE OR REGULAR
frndsex		R HAD SEX WITH FRIEND LAST YEAR
acqntsex	R HAD SEX WITH ACQUAINTANCE LAST YEAR
pikupsex	R HAD SEX WITH CAUSUAL DATE LAST YEAR
paidsex		R HAD SEX FOR PAY LAST YEAR
othersex	R HAD SEX WITH SOME OTHER LAST YEAR
sexsex		SEX OF SEX PARTNERS IN LAST YEAR
sexfreq		FREQUENCY OF SEX DURING LAST YEAR
numwomen	NUMBER OF FEMALE SEX PARTNERS SINCE 18
nummen		NUMBER OF MALE SEX PARTNERS SINCE 18
partnrs5	HOW MANY SEX PARTNERS R HAD IN LAST 5 YEARS
sexsex5		SEX OF SEX PARTNERS LAST FIVE YEARS
evpaidsx	EVER HAVE SEX PAID FOR OR BEING PAID SINCE 18
evstray		HAVE SEX OTHER THAN SPOUSE WHILE MARRIED
condom		USED CONDOM LAST TIME
relatsex	RELATION TO LAST SEX PARTNER
evidu		R EVER INJECT DRUGS
idu30		R INJECT DRUGS IN PAST 30 DAYS
evcrack		R EVER USE CRACK COCAINE
crack30		R LAST USE CRACK COCAINE
hivtest		Have you ever been tested for HIV
hivtest1	In what month and year was your last HIV test
hivtest2	Where did you have your last HIV test
realinc		FAMILY INCOME IN CONSTANT $
realrinc	RS INCOME IN CONSTANT $
ethnic		COUNTRY OF FAMILY ORIGIN
eth1		1ST MENTIONED COUNTRY OF ORIGIN
eth2		2ND MENTIONED COUNTRY OF ORIGIN
eth3		3RD MENTIONED COUNTRY OF ORIGIN
ethnum		TYPE OF RESPONSE ABOUT ETHNICITY -- R
hispanic	HISPANIC SPECIFIED
racecen1	WHAT IS RS RACE 1ST MENTION
racecen2	WHAT IS RS RACE 2ND MENTION
racecen3	WHAT IS RS RACE 3RD MENTION
dwelling	TYPE OF STRUCTURE
dwelown		DOES R OWN OR RENT HOME?
worda		WORD A
wordb		WORD B
wordc		WORD C
wordd		WORD D
worde		WORD E
wordf		WORD F
wordg		WORD G
wordh		WORD H
wordi		WORD I
wordj		WORD J
wordsum		NUMBER WORDS CORRECT IN VOCABULARY TEST
relate1		RELATIONSHIP OF 1ST PERSON TO HOUSEHOLD HEAD
gender1		GENDER OF 1ST PERSON
old1		AGE OF 1ST PERSON
mar1		MARITAL STATUS OF 1ST PERSON
away1		IS 1ST PERSON STAYING SOMEWHERE ELSE NOW?
where1		WHERE IS 1ST PERSON STAYING?
relate2		RELATIONSHIP OF 2ND PERSON TO HOUSEHOLD HEAD
gender2		GENDER OF 2ND PERSON
old2		AGE OF 2ND PERSON
mar2		MARITAL STATUS OF 2ND PERSON
away2		IS 2ND PERSON STAYING SOMEWHERE ELSE NOW?
where2		WHERE IS 2ND PERSON STAYING?
relate3		RELATIONSHIP OF 3RD PERSON TO HOUSEHOLD HEAD
gender3		GENDER OF 3RD PERSON
old3		AGE OF 3RD PERSON
mar3		MARITAL STATUS OF 3RD PERSON
away3		IS 3RD PERSON STAYING SOMEWHERE ELSE NOW?
where3		WHERE IS 3RD PERSON STAYING?
relate4		RELATIONSHIP OF 4TH PERSON TO HOUSEHOLD HEAD
gender4		GENDER OF 4TH PERSON
old4		AGE OF 4TH PERSON
mar4		MARITAL STATUS OF 4TH PERSON
away4		IS 4TH PERSON STAYING SOMEWHERE ELSE NOW?
where4		WHERE IS 4TH PERSON STAYING?
relate5		RELATIONSHIP OF 5TH PERSON TO HOUSEHOLD HEAD
gender5		GENDER OF 5TH PERSON
old5		AGE OF 5TH PERSON
mar5		MARITAL STATUS OF 5TH PERSON
away5		IS 5TH PERSON STAYING SOMEWHERE ELSE NOW?
where5		WHERE IS 5TH PERSON STAYING?
relate6		RELATIONSHIP OF 6TH PERSON TO HOUSEHOLD HEAD
gender6		GENDER OF 6TH PERSON
old6		AGE OF 6TH PERSON
mar6		MARITAL STATUS OF 6TH PERSON
away6		IS 6TH PERSON STAYING SOMEWHERE ELSE NOW?
where6		WHERE IS 6TH PERSON STAYING?
relate7		RELATIONSHIP OF 7TH PERSON TO HOUSEHOLD HEAD
gender7		GENDER OF 7TH PERSON
old7		AGE OF 7TH PERSON
mar7		MARITAL STATUS OF 7TH PERSON
away7		IS 7TH PERSON STAYING SOMEWHERE ELSE NOW?
where7		WHERE IS 7TH PERSON STAYING?
relate8		RELATIONSHIP OF 8TH PERSON TO HOUSEHOLD HEAD
gender8		GENDER OF 8TH PERSON
old8		AGE OF 8TH PERSON
mar8		MARITAL STATUS OF 8TH PERSON
relate9		RELATIONSHIP OF 9TH PERSON TO HOUSEHOLD HEAD
gender9		GENDER OF 9TH PERSON
old9		AGE OF 9TH PERSON
relate10	RELATIONSHIP OF 10TH PERSON TO HOUSEHOLD HEAD
gender10	GENDER OF 10TH PERSON
old10		AGE OF 1OTH PERSON
relate11	RELATION OF 11TH PERSON (VISITOR) TO HEAD
gender11	GENDER OF 11TH PERSON (VISITOR)
old11		AGE OF 11TH PERSON (VISITOR)
mar11		MARITAL STATUS OF 11TH PERSON (VISITOR)
away11		IS 11TH PERSON (VISITOR) STAYING ELSEWHERE NOW?
where11		WHERE IS 11TH PERSON (VISITOR) STAYING?
relate12	RELATION OF 12TH PERSON (VISITOR) TO HEAD
gender12	GENDER OF 12TH PERSON (VISITOR)
old12		AGE OF 12TH PERSON (VISITOR)
mar12		MARITAL STATUS OF 12TH PERSON (VISITOR)
away12		IS 12TH PERSON (VISITOR) STAYING ELSEWHERE NOW?
where12		WHERE IS 12TH PERSON (VISITOR) STAYING?
relate13	RELATION OF 13TH PERSON (VISITOR) TO HEAD
gender13	GENDER OF 13TH PERSON (VISITOR)
old13		AGE OF 13TH PERSON (VISITOR)
relate14	RELATION OF 14TH PERSON (VISITOR) TO HEAD
gender14	GENDER OF 14TH PERSON (VISITOR)
old14		AGE OF 14TH PERSON (VISITOR)
relhhd1		RELATION OF 1ST PERSON TO HOUSEHOLD HEAD
relhhd2		RELATION OF 2ND PERSON TO HOUSEHOLD HEAD
relhhd3		RELATION OF 3RD PERSON TO HOUSEHOLD HEAD
relhhd4		RELATION OF 4TH PERSON TO HOUSEHOLD HEAD
relhhd5		RELATION OF 5TH PERSON TO HOUSEHOLD HEAD
relhhd6		RELATION OF 6TH PERSON TO HOUSEHOLD HEAD
relhhd7		RELATION OF 7TH PERSON TO HOUSEHOLD HEAD
relhhd8		RELATION OF 8TH PERSON TO HOUSEHOLD HEAD
relhhd9		RELATION OF 9TH PERSON TO HOUSEHOLD HEAD
relhhd10	RELATION OF 1OTH PERSON TO HOUSEHOLD HEAD
relhhd11	RELATION OF 11TH PERSON (VISITOR) TO HEAD
relhhd12	RELATION OF 12TH PERSON (VISITOR) TO HEAD
relhhd13	RELATION OF 13TH PERSON (VISITOR) TO HEAD
relhhd14	RELATION OF 14TH PERSON (VISITOR) TO HEAD
hefinfo		NUMBER OF PEOPLE IN INFORMANT'S HOUSEHOLD
hhrace		RACE OF HOUSEHOLD
respnum		NUMBER IN FAMILY OF R
hhtype		HOUSEHOLD TYPE
hhtype1		HOUSEHOLD TYPE (CONDENSED)
famgen		NUMBER OF FAMILY GENERATIONS IN HOUSEHOLD
rplace		R'S RELATIONSHIP TO HOUSEHOLD HEAD
rvisitor	IS R A VISITOR?
visitors	NUMBER OF VISITORS IN HOUSEHOLD
relhh1		RELATIONSHIP OF PERSON 1 TO HEAD OF HOUSEHOLD
relhh2		RELATIONSHIP OF PERSON 2 TO HEAD OF HOUSEHOLD
relhh3		RELATIONSHIP OF PERSON 3 TO HEAD OF HOUSEHOLD
relhh4		RELATIONSHIP OF PERSON 4 TO HEAD OF HOUSEHOLD
relhh5		RELATIONSHIP OF PERSON 5 TO HEAD OF HOUSEHOLD
relhh6		RELATIONSHIP OF PERSON 6 TO HEAD OF HOUSEHOLD
relhh7		RELATIONSHIP OF PERSON 7 TO HEAD OF HOUSEHOLD
relhh8		RELATIONSHIP OF PERSON 8 TO HEAD OF HOUSEHOLD
relhh9		RELATIONSHIP OF PERSON 9 TO HEAD OF HOUSEHOLD
relhh10		RELATIONSHIP OF PERSON 10 TO HEAD OF HOUSEHOLD
relhh11		RELATIONSHIP OF PERSON 11 TO HEAD OF HOUSEHOLD
relhh12		RELATIONSHIP OF PERSON 12 TO HEAD OF HOUSEHOLD
relhh13		RELATIONSHIP OF PERSON 13 TO HEAD OF HOUSEHOLD
relhh14		RELATIONSHIP OF PERSON 14 TO HEAD OF HOUSEHOLD
relsp1		RELATIONSHIP OF PERSON 1 TO SPOUSE OF HOUSEHOL
relsp2		RELATIONSHIP OF PERSON 2 TO SPOUSE OF HOUSEHOL
relsp3		RELATIONSHIP OF PERSON 3 TO SPOUSE OF HOUSEHOL
relsp4		RELATIONSHIP OF PERSON 4 TO SPOUSE OF HOUSEHOL
relsp5		RELATIONSHIP OF PERSON 5 TO SPOUSE OF HOUSEHOL
relsp6		RELATIONSHIP OF PERSON 6 TO SPOUSE OF HOUSEHOL
relsp7		RELATIONSHIP OF PERSON 7 TO SPOUSE OF HOUSEHOL
relsp8		RELATIONSHIP OF PERSON 8 TO SPOUSE OF HOUSEHOL
relsp9		RELATIONSHIP OF PERSON 9 TO SPOUSE OF HOUSEHOL
relsp10		RELATIONSHIP OF PERSON 10 TO SPOUSE OF HOUSEHO
relsp11		RELATIONSHIP OF PERSON 11 TO SPOUSE OF HOUSEHO
relsp12		RELATIONSHIP OF PERSON 12 TO SPOUSE OF HOUSEHO
relsp13		RELATIONSHIP OF PERSON 13 TO SPOUSE OF HOUSEHO
relsp14		RELATIONSHIP OF PERSON 14 TO SPOUSE OF HOUSEHO
dateintv	DATE OF INTERVIEW
isco681		RESPONDENT'S OCCUPATION, 1980 CENSUS
paisc681	R'S FATHER'S OCCUPATION, 1980 CENSUS
maisc681	R'S MOTHER'S OCCUPATION, 1980 CENSUS
spisc681	R'S SPOUSE'S OCCUPATION, 1980 CENSUS
isco88		RESPONDENT'S OCCUPATION, 1988 CENSUS
paisco88	R'S FATHER'S OCCUPATION, 1988 CENSUS
maisco88	R'S MOTHER'S OCCUPATION, 1988 CENSUS
spisco88	R'S SPOUSE'S OCCUPATION, 1988 CENSUS
sei			RESPONDENT SOCIOECONOMIC INDEX
pasei		R'S FATHER'S SOCIOECONOMIC INDEX
masei		R'S MOTHER'S SOCIOECONOMIC INDEX
spsei		R'S SPOUSE'S SOCIOECONOMIC INDEX
uswary		EXPECT U.S. IN WORLD WAR IN 10 YEARS
usintl		TAKE ACTIVE PART IN WORLD AFFAIRS
cohort		YEAR OF BIRTH
zodiac		RESPONDENTS ASTROLOGICAL SIGN
inthisp		IS INTERVIEWER SPANISH, HISPANIC OR LATINO
intrace1	INTERVIEWER S RACE1
intrace2	INTERVIEWER S RACE2
intrace3	INTERVIEWER S RACE3
coninc		FAMILY INCOME IN CONSTANT DOLLARS
conrinc		RESPONDENT INCOME IN CONSTANT DOLLARS
whoelse1	PRESENCE OF OTHERS:CHILDREN UNDER SIX
whoelse2	PRESENCE OF OTHERS:OLDER CHILDREN
whoelse3	PRESENCE OF OTHERS:SPOUSE PARTNER
whoelse4	PRESENCE OF OTHERS:OTHER RELATIVES
whoelse5	PRESENCE OF OTHERS:OTHER ADULTS
whoelse6	PRESENCE OF OTHERS:NO ONE
saqsex		R DID SEX MODULE
intid		INTERVIEWER ID
feeused		FEE GIVEN TO GET CASE
lngthinv	HOW LONG WAS INTERVIEW
intage		AGE OF INTERVIEWER
intethn		RACE OF INTERVIEWER
mode		INTERVIEW DONE IN-PERSON OR OVER THE PHONE
intsex		SEX OF INTERVIEWER
feelevel	AMOUNT OF FEES PAID(GROUPED)
intyrs		YEARS OF SERVICE AS AN INTERVIEWER AT NORC
ballot		BALLOT USED FOR INTERVIEW
version		VERSION OF QUESTIONNAIRE
issp		FILTER FOR ISSP CASES
formwt		POST-STRATIFICATION WEIGHT
sampcode	SAMPLING ERROR CODE
sample		SAMPLING FRAME AND METHOD
oversamp	WEIGHTS FOR BLACK OVERSAMPLES
phase		Subsampling: two-phase design.
spanself	If this interview had only been available in English, would you…
spanint		If no Spanish, R could have been interviewed in English
spaneng		Interviews Conducted in Spanish or English
wtss		WEIGHT VARIABLE
wtssnr		WEIGHT VARIABLE
wtssall		WEIGHT VARIABLE
